Transaction Date,Post Date,Description,Category,Type,Amount,Memo
9/7/2025,9/9/2025,UEP*QUICKLY,Food & Drink,Sale,-11.62,
9/6/2025,9/8/2025,SWEETEE THAI CAFE,Food & Drink,Sale,-63,
9/6/2025,9/8/2025,TST*DA VIEN - CERRITOS,Food & Drink,Sale,-6.5,
9/8/2025,9/8/2025,BOILING POINT RESTAURA,Food & Drink,Sale,-58.6,
9/7/2025,9/7/2025,THEISLANDSGOLFCENTER.C,Entertainment,Sale,-24.35,
9/4/2025,9/7/2025,MOKKOJI CYPRESS,Food & Drink,Sale,-108.68,
9/6/2025,9/7/2025,THE ISLAND GOLF CENTER,Food & Drink,Sale,-24.09,
9/3/2025,9/3/2025,AUTOMATIC PAYMENT - THANK,,Payment,1175.12,
8/31/2025,9/1/2025,CURSOR  AI POWERED IDE,Shopping,Sale,-20,
8/31/2025,9/1/2025,MIKIYA WAGYU SHABU HOU,Food & Drink,Sale,-137.23,
8/30/2025,8/31/2025,SQ *YAMA SUSHI MARKETPLAC,Food & Drink,Sale,-21.05,
8/30/2025,8/31/2025,DAHDOUL TEXTILES INC,Home,Sale,-130.79,
8/24/2025,8/28/2025,BOBA BEAR,Food & Drink,Sale,-79.34,
8/23/2025,8/25/2025,KRUNGSRI THAI FOOD,Food & Drink,Sale,-37.03,
8/24/2025,8/25/2025,SAU CAN THO VIETNAMESE KI,Food & Drink,Sale,-69,
8/20/2025,8/21/2025,JUMSIM,Food & Drink,Sale,-28,
8/19/2025,8/21/2025,PY *MONZO,Food & Drink,Sale,-19.01,
8/19/2025,8/20/2025,THE LATTE SHOP LT,Food & Drink,Sale,-5.5,
8/17/2025,8/18/2025,UEP*IPOH KOPITIAM,Food & Drink,Sale,-45.05,
8/16/2025,8/17/2025,BAG O CRAB,Food & Drink,Sale,-73.24,
8/16/2025,8/17/2025,H MART BUENA PARK LLC,Groceries,Sale,-4.44,
8/13/2025,8/15/2025,FIVE STAR SEAFOOD RESTAU,Food & Drink,Sale,-61.3,
8/8/2025,8/10/2025,BOILING POINT- HACIENDA,Food & Drink,Sale,-50.33,
8/9/2025,8/10/2025,GW SUPERMARKET OF ROWL,Groceries,Sale,-28.62,
8/3/2025,8/5/2025,COM TAM KIEU,Food & Drink,Sale,-50,
8/2/2025,8/4/2025,PHO ANVI - WEST COVINA,Food & Drink,Sale,-42,
8/2/2025,8/4/2025,MEXIM LIQUOR,Groceries,Sale,-36.43,
8/3/2025,8/3/2025,AUTOMATIC PAYMENT - THANK,,Payment,2727.94,
8/2/2025,8/3/2025,PAYYOURSELFBACK CREDIT,Fees & Adjustments,Adjustment,95,
8/1/2025,8/3/2025,ATT* BILL PAYMENT,Bills & Utilities,Return,344.7,
8/1/2025,8/3/2025,BIG WAY HOT POT,Food & Drink,Sale,-45.81,
7/29/2025,7/30/2025,IKEA COVINA LLC,Home,Sale,-2.2,
7/28/2025,7/30/2025,THE HOME DEPOT #6663,Home,Sale,-11.02,
7/27/2025,7/29/2025,E A T BISTRO,Food & Drink,Sale,-58.23,
7/27/2025,7/28/2025,THE UPS STORE 5705,Personal,Sale,-1.09,
7/26/2025,7/27/2025,ATT* BILL PAYMENT,Bills & Utilities,Sale,-344.7,
7/26/2025,7/27/2025,WM SUPERCENTER #3522,Groceries,Sale,-12.12,
7/20/2025,7/21/2025,UEP*UMI HOTPOT SUSHI &amp; SE,Food & Drink,Sale,-98.31,
7/19/2025,7/21/2025,NICK'S DELI,Food & Drink,Sale,-11.25,
7/13/2025,7/15/2025,BIG WAY HOT POT,Food & Drink,Sale,-53.04,
7/13/2025,7/14/2025,H DREAM CAFE,Food & Drink,Sale,-110.78,
7/12/2025,7/14/2025,SWEETEE THAI CAFE,Food & Drink,Sale,-80.01,
7/9/2025,7/10/2025,CURSOR  AI POWERED IDE,Shopping,Sale,-20,
7/5/2025,7/8/2025,P3 LAX SMARTPARKING,Travel,Sale,-9,
7/6/2025,7/8/2025,BOILING POINT- PASADENA,Food & Drink,Sale,-97.59,
7/6/2025,7/7/2025,2LEVY@RBOWL,Food & Drink,Sale,-21.54,
7/7/2025,7/7/2025,EB *FOODIELAND FOOD FE,Personal,Sale,-48,
7/6/2025,7/7/2025,SQ *LINH?S KITCHEN,Food & Drink,Sale,-22,
7/4/2025,7/6/2025,THE HOME DEPOT #6663,Home,Sale,-19.02,
7/4/2025,7/6/2025,THE HOME DEPOT #6663,Home,Return,84.45,
7/4/2025,7/4/2025,UBER   *TRIP,Travel,Sale,-73.96,
7/3/2025,7/4/2025,CLAUDE.AI SUBSCRIPTION,Shopping,Sale,-20,
7/2/2025,7/4/2025,TST*DECK.,Food & Drink,Sale,-27.75,
7/2/2025,7/4/2025,PROPARK-HONOLULUZOO,Travel,Sale,-3,
7/3/2025,7/3/2025,AUTOMATIC PAYMENT - THANK,,Payment,1000.97,
7/2/2025,7/3/2025,PROPARK-HONOLULUZOO,Travel,Sale,-4.5,
7/2/2025,7/3/2025,TST* SHABUYA - HAWAII,Food & Drink,Sale,-165.29,
7/1/2025,7/3/2025,PROPARK-HONOLULUZOO,Travel,Sale,-1.5,
7/2/2025,7/3/2025,YOGURSTORY,Food & Drink,Sale,-189.47,
7/2/2025,7/3/2025,PROPARK-HONOLULUZOO,Travel,Sale,-16.5,
7/1/2025,7/2/2025,PROPARK-HONOLULUZOO,Travel,Sale,-18,
